"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",3.97058566108978e-143,0.450798123133371,0.97,0.967,7.94117132217957e-140,"0","DBI"
"2",3.21074245790818e-120,0.449045057582277,0.98,0.984,6.42148491581636e-117,"0","MT3"
"3",8.12522787791824e-43,0.305279142291814,0.946,0.968,1.62504557558365e-39,"0","CST3"
"4",2.62163978276064e-26,0.471692297632229,0.832,0.877,5.24327956552128e-23,"0","DBIP1"
"5",4.86603112772799e-24,0.269483635612358,0.778,0.879,9.73206225545598e-21,"0","MDK"
"6",1.94191344534363e-21,0.418505641948427,0.832,0.908,3.88382689068725e-18,"0","FABP7"
"7",1.89283538826961e-15,0.367306406904886,0.857,0.897,3.78567077653921e-12,"0","GSTP1"
"8",8.86556865414901e-15,0.292797068891945,0.645,0.804,1.7731137308298e-11,"0","RBP1"
"9",1.8406671659227e-07,0.313740323565688,0.779,0.866,0.00036813343318454,"0","CHCHD10"
"10",7.64237836099605e-07,0.408448083020271,0.511,0.642,0.00152847567219921,"0","SCRG1"
"11",9.23085877199142e-07,0.35463134460753,0.479,0.62,0.00184617175439828,"0","BEX1"
"12",1.25836234427963e-06,0.25950238761597,0.819,0.912,0.00251672468855925,"0","ATP5G3"
"13",7.89135044423349e-06,0.440254402469742,0.796,0.869,0.015782700888467,"0","HOPX"
"14",0.00139563796971093,0.281854118672272,0.872,0.933,1,"0","TSC22D4"
"15",0.00178566629022173,0.335805098835875,0.83,0.908,1,"0","COX7B"
"16",0,2.20957253499982,0.953,0.679,0,"1","GFAP"
"17",0,1.62238237415768,0.994,0.848,0,"1","APOE"
"18",0,1.27250522481167,0.94,0.798,0,"1","AQP4"
"19",0,1.17484734238221,0.994,0.91,0,"1","CLU"
"20",0,1.1213788414093,0.936,0.823,0,"1","NMB"
"21",0,1.05159291125542,0.727,0.426,0,"1","ID3"
"22",0,0.927272710889196,0.891,0.775,0,"1","AEBP1"
"23",0,0.914801799491113,0.904,0.688,0,"1","ITM2C"
"24",0,0.912257010709678,0.823,0.564,0,"1","GADD45B"
"25",0,0.896455568125934,0.959,0.846,0,"1","CRYAB"
"26",0,0.84618069387071,0.887,0.767,0,"1","CHI3L1"
"27",0,0.781292653606458,0.885,0.762,0,"1","ZFP36L2"
"28",0,0.760663828605997,0.802,0.684,0,"1","EDNRB"
"29",0,0.727439489184323,0.897,0.797,0,"1","TTYH1"
"30",0,0.719556666269671,0.882,0.828,0,"1","AGT"
"31",0,0.698336834306495,0.961,0.887,0,"1","CPE"
"32",0,0.690704006854068,0.923,0.826,0,"1","GATM"
"33",0,0.687137001293148,0.952,0.912,0,"1","MT1X"
"34",0,0.670996683127432,0.92,0.754,0,"1","BCAN"
"35",0,0.662585084399089,0.863,0.744,0,"1","PLTP"
"36",0,0.64503439710667,0.836,0.646,0,"1","SOX9"
"37",0,0.642552048154887,0.822,0.728,0,"1","ADCYAP1R1"
"38",0,0.628121336474883,0.719,0.497,0,"1","AHCYL1"
"39",0,0.622394717339218,0.868,0.819,0,"1","MT1M"
"40",0,0.616760440933199,0.684,0.448,0,"1","FAM107A"
"41",0,0.60211246338351,0.876,0.642,0,"1","NKAIN4"
"42",0,0.59166664679494,0.804,0.567,0,"1","JUNB"
"43",0,0.528043820042139,0.761,0.675,0,"1","MAOB"
"44",0,0.521577626192799,0.801,0.706,0,"1","F3"
"45",0,0.512464908570709,0.754,0.469,0,"1","NDRG2"
"46",0,0.502498942786658,0.93,0.865,0,"1","RAMP1"
"47",0,0.481676605189767,0.859,0.719,0,"1","ATP1A2"
"48",0,0.473850413473818,0.928,0.88,0,"1","ATP1B2"
"49",0,0.431161669286136,0.68,0.398,0,"1","NTRK2"
"50",8.80691244639487e-303,0.524885951513942,0.789,0.668,1.76138248927897e-299,"1","TIMP3"
"51",7.67450053166033e-296,0.553212157620815,0.868,0.797,1.53490010633207e-292,"1","CEBPD"
"52",1.36324104862325e-295,0.595115253396121,0.946,0.876,2.72648209724651e-292,"1","S100A6"
"53",1.89991718927026e-295,0.645079389615798,0.793,0.638,3.79983437854051e-292,"1","ZFP36"
"54",2.70901385521666e-293,0.464513309940095,0.608,0.305,5.41802771043332e-290,"1","PLP1"
"55",6.1218734272128e-288,0.470036248261479,0.892,0.793,1.22437468544256e-284,"1","SLC1A3"
