"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,2.93115351809008,0.715,0.029,0,"0","DLX6-AS1"
"2",8.40197069018871e-210,1.62835552026078,0.896,0.263,1.94068719001979e-205,"0","STMN2"
"3",3.20546364102617e-168,1.50637724583837,0.422,0.028,7.40397991804226e-164,"0","DLX5"
"4",1.47389062237614e-145,1.05483564694043,0.965,0.678,3.4043925595644e-141,"0","STMN1"
"5",1.12646629133562e-138,0.899779163460501,0.996,0.931,2.60191183972702e-134,"0","TMSB10"
"6",9.18231826874637e-136,1.30106814440838,0.787,0.285,2.12093187371504e-131,"0","STMN4"
"7",1.58729230937483e-134,1.2597624649882,0.863,0.442,3.66632777619398e-130,"0","TUBB2A"
"8",3.93905757699957e-130,1.71065369988952,0.528,0.103,9.09843519135361e-126,"0","KCTD12"
"9",2.96589953112191e-128,1.36499829472776,0.65,0.18,6.85063473698539e-124,"0","NREP"
"10",6.02405487946598e-128,1.28160562411508,0.374,0.035,1.39143619605905e-123,"0","DYNC1I1"
"11",1.27640444671221e-123,1.38172708419372,0.443,0.068,2.94823899101587e-119,"0","CELF4"
"12",1.41697806944084e-120,1.31726116153175,0.367,0.038,3.27293594479445e-116,"0","PLXNA4"
"13",9.18491712302139e-120,1.23155906406921,0.711,0.255,2.12153215707548e-115,"0","NSG1"
"14",7.71712265822683e-114,1.27935427468397,0.459,0.081,1.78250099159723e-109,"0","SYT1"
"15",6.20897900783053e-113,0.917333490815377,0.957,0.72,1.43414997122869e-108,"0","TUBB2B"
"16",9.13235782254761e-107,1.27313261500783,0.6,0.176,2.10939200985205e-102,"0","HMP19"
"17",7.54996523119434e-102,1.095864625382,0.869,0.522,1.74389096910127e-97,"0","SOX4"
"18",3.91285128772103e-95,1.15098126311238,0.643,0.229,9.03790390437803e-91,"0","ELAVL4"
"19",3.56329003636864e-92,1.30758839052743,0.494,0.131,8.23048732600429e-88,"0","AP1S2"
"20",5.42081258881687e-92,1.84172992385572,0.267,0.024,1.25209929176492e-87,"0","CRABP1"
"21",7.32886411909126e-91,1.16366819182346,0.585,0.192,1.6928210342277e-86,"0","DCX"
"22",1.41150182217767e-89,1.48016598209529,0.63,0.268,3.26028690886597e-85,"0","LMO4"
"23",3.18122458561899e-88,1.10898461693339,0.326,0.046,7.34799254786275e-84,"0","SCG2"
"24",9.37691262775964e-86,0.948022316533819,0.857,0.577,2.16587927875992e-81,"0","UCHL1"
"25",4.49021628659004e-83,1.02358356469435,0.726,0.361,1.03715015787657e-78,"0","TERF2IP"
"26",1.21073316408761e-81,1.05225647577633,0.772,0.433,2.79655146240955e-77,"0","TCF4"
"27",6.6926007219412e-78,1.15808140846968,0.494,0.153,1.54585691475398e-73,"0","PBX1"
"28",1.31184983212141e-77,0.93596819094731,0.765,0.412,3.03011074223403e-73,"0","MAP1B"
"29",3.79105825917579e-76,1.34546015642476,0.652,0.307,8.75658636704423e-72,"0","MEG3"
"30",3.30737583138958e-72,1.01775191100063,0.504,0.166,7.63937669534366e-68,"0","DCLK1"
