"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.5","seurat_clusters","RNA_snn_res.0.8"
"cell_37","cell",5085,2495,0.15732546705998,"0","0","0"
"cell_40","cell",4978,2470,0.0803535556448373,"5","5","5"
"cell_43","cell",4887,2472,0.286474319623491,"5","5","5"
"cell_45","cell",4831,2492,0.703788035603395,"0","0","0"
"cell_48","cell",4809,2482,0.270326471199834,"0","0","0"
"cell_53","cell",4594,2245,0.544188071397475,"0","0","0"
"cell_54","cell",4597,2337,0.174026539047205,"5","5","5"
"cell_56","cell",4565,2327,0.175246440306681,"4","4","4"
"cell_57","cell",4543,2268,0.176095091349329,"3","3","3"
"cell_58","cell",4536,2429,0.0440917107583774,"4","4","4"
"cell_59","cell",4534,2414,0.110277900308778,"5","5","5"
"cell_61","cell",4523,2259,0.442184390891002,"5","5","5"
"cell_62","cell",4507,2344,0.133126248058576,"5","5","5"
"cell_63","cell",4465,2312,0.291153415453527,"4","4","4"
"cell_64","cell",4426,2254,0.474469046543154,"5","5","5"
"cell_65","cell",4398,2241,0.11368804001819,"5","5","5"
"cell_66","cell",4394,2387,0.0455166135639508,"4","4","4"
"cell_67","cell",4397,2437,0.0909711166704571,"4","4","4"
"cell_68","cell",4372,2384,0.0686184812442818,"4","4","4"
"cell_70","cell",4351,2194,0.298781889220869,"3","3","3"
"cell_71","cell",4344,2367,0.115101289134438,"4","4","4"
"cell_72","cell",4325,2221,0.092485549132948,"5","5","5"
"cell_73","cell",4322,2473,0.11568718186025,"4","4","4"
"cell_74","cell",4320,2269,0.0462962962962963,"0","0","0"
"cell_75","cell",4316,2320,0.20852641334569,"2","2","2"
"cell_77","cell",4285,2132,0.0233372228704784,"0","0","0"
"cell_78","cell",4282,2456,0.0467071461933676,"4","4","4"
"cell_79","cell",4276,2259,0.561272217025257,"0","0","0"
"cell_80","cell",4268,2173,0.117150890346767,"0","0","0"
"cell_81","cell",4241,2271,0.0707380334826692,"4","4","4"
"cell_82","cell",4234,2381,0.141709966934341,"4","4","4"
"cell_83","cell",4238,2113,0.25955639452572,"5","5","5"
"cell_84","cell",4219,2317,0.118511495615075,"6","6","6"
"cell_85","cell",4225,2132,0.307692307692308,"0","0","0"
"cell_86","cell",4200,2186,0.119047619047619,"0","0","0"
"cell_87","cell",4192,2126,0.0477099236641221,"0","0","0"
"cell_88","cell",4177,2076,0.0718218817333014,"5","5","5"
"cell_89","cell",4169,2491,0.0959462700887503,"4","4","4"
"cell_90","cell",4169,2402,0.119932837610938,"4","4","4"
"cell_91","cell",4140,2421,0.748792270531401,"0","0","0"
"cell_92","cell",4113,2096,0.364697301239971,"0","0","0"
"cell_93","cell",4099,2106,0.17077335935594,"5","5","5"
"cell_94","cell",4107,2079,0.0973946919892866,"0","0","0"
"cell_95","cell",4097,2196,0.219672931413229,"4","4","4"
"cell_96","cell",4096,2007,0.146484375,"0","0","0"
"cell_97","cell",4091,2325,0.0488878024932779,"4","4","4"
"cell_98","cell",4091,2287,0.171107308726473,"4","4","4"
"cell_99","cell",4060,2250,0.0985221674876847,"0","0","0"
"cell_100","cell",4065,2284,0.0984009840098401,"4","4","4"
"cell_101","cell",4048,2371,0.0494071146245059,"0","8","8"
"cell_102","cell",4044,2304,0.0741839762611276,"4","4","4"
"cell_103","cell",4048,2221,0.271739130434783,"5","5","5"
"cell_104","cell",4039,2225,0.0990344144590245,"0","0","0"
"cell_105","cell",4028,2177,0.868917576961271,"0","0","0"
"cell_106","cell",4011,2087,0.12465719272002,"6","6","6"
"cell_107","cell",4000,2133,0.025,"0","0","0"
"cell_108","cell",3995,2255,0.200250312891114,"0","0","0"
"cell_109","cell",3949,2060,0.30387439858192,"5","5","5"
"cell_110","cell",3935,2197,0.381194409148666,"5","5","5"
