"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.8","seurat_clusters"
"cell_107","cell",5796,2470,0,"1","1"
"cell_109","cell",5756,2390,0.0173731758165393,"1","1"
"cell_110","cell",5752,2368,0.0173852573018081,"4","4"
"cell_124","cell",5519,2463,0.271788367457873,"1","1"
"cell_129","cell",5478,2261,0,"5","5"
"cell_139","cell",5371,2455,0,"3","3"
"cell_140","cell",5360,2424,0,"5","5"
"cell_141","cell",5338,2320,0.0749344323716748,"1","1"
"cell_143","cell",5283,2276,0.0189286390308537,"3","3"
"cell_145","cell",5273,2393,0.0568936089512611,"5","5"
"cell_148","cell",5220,2486,0.0766283524904215,"8","8"
"cell_149","cell",5209,2289,0.268765598003456,"5","5"
"cell_151","cell",5204,2217,0,"4","4"
"cell_158","cell",5155,2497,0.0193986420950533,"3","3"
"cell_161","cell",5117,2487,0.0586281024037522,"8","8"
"cell_163","cell",5105,2093,0,"3","3"
"cell_165","cell",5093,2399,0.215982721382289,"3","3"
"cell_166","cell",5085,2216,0.0393313667649951,"1","1"
"cell_167","cell",5090,2111,0.0982318271119843,"1","1"
"cell_170","cell",5051,2488,0.0197980597901406,"0","0"
"cell_173","cell",5031,2440,0,"4","4"
"cell_174","cell",5039,2224,0.0198452073824171,"5","5"
"cell_175","cell",5022,2349,0.219036240541617,"3","3"
"cell_177","cell",5001,2217,0,"1","1"
"cell_178","cell",4973,2298,0.0804343454655138,"0","0"
"cell_182","cell",4932,2475,0.101378751013788,"9","9"
"cell_183","cell",4919,2210,0.020329335230738,"0","0"
"cell_184","cell",4902,2115,0.0611995104039168,"0","0"
"cell_185","cell",4897,2458,0.0612619971411068,"9","9"
"cell_186","cell",4900,2491,0,"2","2"
"cell_188","cell",4886,2397,0.184199754400327,"7","7"
"cell_190","cell",4881,2305,0.0614628149969269,"7","7"
"cell_192","cell",4865,2405,0.0205549845837616,"0","0"
"cell_195","cell",4804,2040,0.104079933388843,"1","1"
"cell_196","cell",4785,2449,0,"3","3"
"cell_197","cell",4789,2492,0.0626435581541031,"3","3"
"cell_198","cell",4779,2317,0.0418497593638837,"0","0"
"cell_199","cell",4783,2215,0,"3","3"
"cell_200","cell",4779,1998,0.0209248796819418,"5","5"
"cell_201","cell",4753,2111,0,"10","10"
"cell_203","cell",4735,2434,0.0422386483632524,"8","8"
"cell_204","cell",4728,2171,0,"7","7"
"cell_205","cell",4722,2375,0.0211774671749259,"0","0"
"cell_206","cell",4718,2424,0,"0","0"
"cell_207","cell",4694,2311,0.0639113762249681,"0","0"
"cell_208","cell",4718,2450,0,"0","0"
"cell_209","cell",4709,2453,0.0424718623911659,"9","9"
"cell_210","cell",4703,2345,0.0212630236019562,"0","0"
"cell_211","cell",4694,2038,0.0213037920749893,"5","5"
"cell_212","cell",4676,2477,0.0641573994867408,"2","2"
"cell_213","cell",4688,2168,0,"1","1"
"cell_214","cell",4678,2075,0.0213766566908935,"3","3"
"cell_215","cell",4650,2411,0.172043010752688,"5","5"
"cell_216","cell",4642,2287,0,"8","8"
"cell_217","cell",4635,2449,0.0647249190938511,"2","2"
"cell_218","cell",4628,2378,0.237683664649957,"1","1"
"cell_219","cell",4634,1997,0.0647388864911524,"1","1"
"cell_220","cell",4626,2221,0.0648508430609598,"3","3"
"cell_221","cell",4622,2236,0.0216356555603635,"1","1"
"cell_222","cell",4604,2094,0.0651607298001738,"1","1"
"cell_224","cell",4593,2215,0.0653167864141084,"1","1"
"cell_225","cell",4580,2267,0,"8","8"
"cell_226","cell",4575,2376,0.109289617486339,"3","3"
"cell_227","cell",4567,2417,0.0437924239106635,"5","5"
"cell_228","cell",4565,2458,0.0657174151150055,"3","3"
"cell_229","cell",4560,2225,0.087719298245614,"3","3"
"cell_230","cell",4561,2215,0.0438500328875247,"1","1"
"cell_231","cell",4546,2460,0.10998680158381,"3","3"
"cell_232","cell",4537,2329,0.0881639850121226,"3","3"
